"","RESPNUM","Q1","Q2","Rec_Age","Q3_01","Q3_02","Q3_03","Q3_04","Q3_05","Q3_06","Q3_07","Q3_08","Q3_09","Q3_10","Q3_11","Q3_12","Q3_13","Q4a_01","Q4a_02","Q4a_03","Q4a_04","Q4a_05","Q4a_06","Q4a_07","Q4a_08","Q4a_09","Q4a_10","Q4a_11","Q4a_12","Q4a_13","Q4a_14","Q4b_01","Q4b_02","Q4b_03","Q4b_04","Q4b_05","Q4b_06","Q4b_07","Q4b_08","Q4b_09","Q4b_10","Q4b_11","Q4b_12","Q4b_13","Q4b_14","Q4c_01","Q4c_02","Q4c_03","Q4c_04","Q4c_05","Q4c_06","Q4c_07","Q4c_08","Q4c_09","Q4c_10","Q4c_11","Q4c_12","Q4c_13","Q4c_14","Q4d_01","Q4d_02","Q4d_03","Q4d_04","Q4d_05","Q4d_06","Q4d_07","Q4d_08","Q4d_09","Q4d_10","Q4d_11","Q4d_12","Q4d_13","Q4d_14","Q4e_01","Q4e_02","Q4e_03","Q4e_04","Q4e_05","Q4e_06","Q4e_07","Q4e_08","Q4e_09","Q4e_10","Q4e_11","Q4e_12","Q4e_13","Q4e_14","Q4f_01","Q4f_02","Q4f_03","Q4f_04","Q4f_05","Q4f_06","Q4f_07","Q4f_08","Q4f_09","Q4f_10","Q4f_11","Q4f_12","Q4f_13","Q4f_14","Q4g_01","Q4g_02","Q4g_03","Q4g_04","Q4g_05","Q4g_06","Q4g_07","Q4g_08","Q4g_09","Q4g_10","Q4g_11","Q4g_12","Q4g_13","Q4g_14","Q4h_01","Q4h_02","Q4h_03","Q4h_04","Q4h_05","Q4h_06","Q4h_07","Q4h_08","Q4h_09","Q4h_10","Q4h_11","Q4h_12","Q4h_13","Q4h_14","Q4i_01","Q4i_02","Q4i_03","Q4i_04","Q4i_05","Q4i_06","Q4i_07","Q4i_08","Q4i_09","Q4i_10","Q4i_11","Q4i_12","Q4i_13","Q4i_14","Q5a_left","Q5a_right","Q5b_left","Q5b_right","Q5c_left","Q5c_right","Q5d_left","Q5d_right","Q5e_left","Q5e_right","Q5f_left","Q5f_right","Q6_01","Q6_02","Q6_03","Q6_04","Q6_05","Q6_06","Q6_07","Q6_08","Q6_09","Q6_10","Q7","StartDate","StartTime","endDate","EndTime","Timetaken"
"1",1,"Male","65 or more","50 over","5","9","5","9","5","7","5","8","5","9","9","Not at all likely 0","5","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","Microsoft","IBM","Dell","Nokia","Microsoft","Nokia","Google","IBM","Microsoft","Yahoo","Samsung","IBM","no","no","no","no","yes","no","no","no","yes","no","$15,001 to $30,000","05/04/2017","16:40:32","05/04/2017","16:46:31","5:58"
"2",2,"Female","25 to 29","18 to 34","7","7","5","7","4","5","5","5","4","6","6","5","5","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","yes","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","yes","no","no","no","yes","yes","yes","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","Google","IBM","Apple","Yahoo","Samsung","Intel","Google","IBM","Google","Yahoo","Samsung","Yahoo","yes","no","no","yes","no","yes","yes","no","yes","no","$60,001 to $90,000","05/04/2017","16:37:53","05/04/2017","16:58:57","21:4"
"3",3,"Male","45 to 49","35 to 49","8","6","Not at all likely 0","8","Not at all likely 0","Not at all likely 0","8","Not at all likely 0","Not at all likely 0","Not at all likely 0","7","7","7","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","yes","no","no","no","no","no","no","yes","yes","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","yes","yes","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","yes","no","Apple","IBM","Apple","Dell","Sony","Nokia","Google","Dell","Google","Dell","Apple","IBM","yes","yes","yes","no","no","yes","yes","no","no","no","$90.001 to $120,000","05/04/2017","19:15:54","05/04/2017","19:21:45","5:50"
"4",4,"Female","65 or more","50 over","6","8","3","7","3","9","6","5","4","6","9","7","8","yes","yes","no","yes","no","yes","no","yes","yes","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","no","no","yes","no","yes","no","yes","yes","yes","yes","no","yes","no","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","yes","no","yes","no","yes","no","no","yes","yes","yes","no","no","yes","no","yes","no","yes","no","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","yes","no","no","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","yes","no","no","yes","no","yes","no","no","no","no","yes","no","yes","no","yes","no","no","yes","no","no","no","Google","IBM","Dell","Sony","Samsung","Sony","Google","Sony","Samsung","Yahoo","Samsung","IBM","no","no","no","yes","no","no","no","no","yes","no","$15,001 to $30,000","05/04/2017","19:08:53","05/04/2017","19:15:34","6:41"
"5",5,"Male","55 to 64","50 over","8","8","7","8","6","8","8","6","3","5","8","8","7","yes","yes","no","no","no","no","yes","no","no","no","yes","yes","yes","no","no","no","no","yes","yes","no","no","no","no","no","yes","yes","yes","no","yes","no","no","yes","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","yes","no","no","no","no","yes","yes","no","no","no","yes","no","yes","no","yes","no","no","yes","no","no","yes","no","no","no","yes","yes","yes","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","no","yes","no","yes","no","yes","yes","yes","yes","yes","no","no","no","yes","no","yes","no","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","no","Apple","Nokia","Apple","Yahoo","Sony","Nokia","Sony","Intel","Samsung","Yahoo","Apple","Yahoo","no","no","yes","no","no","no","no","yes","yes","no","$150,001 to $200,000","05/04/2017","20:02:33","05/04/2017","20:11:00","8:26"
"6",6,"Female","18 to 24","18 to 34","8","5","3","9","3","3","6","3","3","3","5","5","5","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","Google","IBM","Apple","Yahoo","Sony","Intel","Sony","IBM","Google","Yahoo","Apple","IBM","no","yes","yes","no","no","no","no","no","yes","no","$90.001 to $120,000","05/04/2017","20:10:16","05/04/2017","20:21:08","10:51"
"7",7,"Female","25 to 29","18 to 34","9","8","7","9","7","7","7","7","5","7","6","8","8","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","yes","no","yes","yes","no","yes","yes","yes","yes","yes","no","yes","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","yes","no","yes","no","no","no","yes","yes","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","no","yes","no","no","no","no","yes","yes","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","Google","IBM","Apple","Yahoo","Microsoft","Intel","Google","Intel","Google","Yahoo","Apple","Yahoo","no","yes","no","no","yes","no","yes","no","no","no","$60,001 to $90,000","05/04/2017","21:02:34","05/04/2017","21:07:59","5:24"
"8",8,"Male","45 to 49","35 to 49","6","6","6","9","6","6","6","6","6","6","6","2","4","yes","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","yes","no","yes","yes","no","Apple","Nokia","Apple","Nokia","Microsoft","Samsung","Google","Sony","Google","Samsung","Apple","Samsung","yes","yes","no","no","yes","no","no","yes","yes","no","$150,001 to $200,000","05/04/2017","22:17:00","05/04/2017","22:20:46","3:45"
"9",9,"Male","25 to 29","18 to 34","Extremely likely10","Extremely likely10","6","Extremely likely10","Extremely likely10","8","Extremely likely10","8","9","7","Extremely likely10","Extremely likely10","9","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","yes","no","yes","no","no","yes","no","no","yes","yes","no","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","yes","yes","no","yes","yes","no","no","no","yes","no","no","yes","yes","no","yes","yes","no","no","yes","no","no","yes","yes","no","no","no","no","yes","yes","no","no","no","no","yes","yes","no","yes","yes","no","Microsoft","IBM","Apple","Nokia","Samsung","Nokia","Dell","Sony","Samsung","Dell","Apple","Samsung","yes","yes","yes","no","no","yes","no","no","no","no","$120,001 to $150,000","05/04/2017","21:09:01","05/04/2017","21:13:03","4:1"
"10",10,"Female","35 to 39","35 to 49","5","5","5","5","5","5","5","5","5","5","5","5","5","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","Nokia","Apple","Sony","Dell","Sony","Samsung","IBM","Intel","Google","Yahoo","Yahoo","Apple","no","no","no","no","yes","no","no","yes","yes","no","$15,001 to $30,000","05/04/2017","22:21:17","05/04/2017","22:26:48","5:31"
